index,Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
199,31U0881,435951,435475,2,Leeds 2016,30/01/2016,1245,A,Wet / Damp,Daylight: street lights present,Snowing with high winds,Driver or rider,Slight,Male,33,Pedal cycle
200,31U1291,431825,430454,1,Leeds 2016,30/01/2016,1855,Motorway,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Slight,Male,48,Car
201,31V0635,431404,435028,2,Leeds 2016,31/01/2016,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,37,Car
202,31V0635,431404,435028,2,Leeds 2016,31/01/2016,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car
203,31V0635,431404,435028,2,Leeds 2016,31/01/2016,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
204,31V0635,431404,435028,2,Leeds 2016,31/01/2016,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,7,Car
205,31V0635,431404,435028,2,Leeds 2016,31/01/2016,1155,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Car
206,31V0671,420275,445365,1,Leeds 2016,31/01/2016,1146,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,28,Car
207,31V0877,425664,439612,2,Leeds 2016,31/01/2016,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Pedal cycle
208,31V1126,429948,436664,1,Leeds 2016,31/01/2016,1734,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,64,Car
209,31V1251,430036,434078,1,Leeds 2016,31/01/2016,1535,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Male,20,Taxi/Private hire car
210,3210161,440272,449564,2,Leeds 2016,01/02/2016,500,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver or rider,Slight,Male,34,Car
211,3210421,429812,438919,2,Leeds 2016,29/01/2016,1800,A,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Female,23,Car
212,3210475,431026,433540,1,Leeds 2016,01/02/2016,1039,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,28,Car
213,3210607,435675,434795,3,Leeds 2016,01/02/2016,1205,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,52,Car
214,3210607,435675,434795,3,Leeds 2016,01/02/2016,1205,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,66,Car
215,3210942,431881,435453,1,Leeds 2016,01/02/2016,1530,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,85,Car
216,3210980,432858,435382,2,Leeds 2016,01/02/2016,1545,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Male,6,Car
217,3210980,432858,435382,2,Leeds 2016,01/02/2016,1545,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,9,Car
218,3210980,432858,435382,2,Leeds 2016,01/02/2016,1545,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,10,Car
219,3211478,426743,427878,1,Leeds 2016,01/02/2016,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Goods vehicle 3.5 tonnes mgw and under
