index,Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
467,3360593,428697,429546,2,Leeds 2016,06/03/2016,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Male,11,Car
468,3360593,428697,429546,2,Leeds 2016,06/03/2016,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,9,Car
469,3360593,428697,429546,2,Leeds 2016,06/03/2016,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,2,Car
470,3360648,426949,433344,2,Leeds 2016,06/03/2016,1155,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,35,Car
471,3360648,426949,433344,2,Leeds 2016,06/03/2016,1155,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,11,Car
472,3361088,428578,432990,3,Leeds 2016,06/03/2016,1645,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
473,3361088,428578,432990,3,Leeds 2016,06/03/2016,1645,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
474,3361232,419631,444880,1,Leeds 2016,06/03/2016,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,52,Car
475,3361549,428837,440134,2,Leeds 2016,06/03/2016,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,Pedal cycle
476,3361675,431899,434792,1,Leeds 2016,06/03/2016,2302,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,37,Car
477,3370178,430637,433678,2,Leeds 2016,07/03/2016,718,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,43,Pedal cycle
478,3370184,441291,428176,1,Leeds 2016,07/03/2016,727,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,15,Car
479,3370235,428872,431633,2,Leeds 2016,07/03/2016,740,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car
480,3370235,428872,431633,2,Leeds 2016,07/03/2016,740,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,30,Car
481,3370266,430962,435766,1,Leeds 2016,07/03/2016,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Pedal cycle
482,3370266,430962,435766,1,Leeds 2016,07/03/2016,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,55,Pedal cycle
483,3370266,430962,435766,1,Leeds 2016,07/03/2016,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,6,Pedal cycle
484,3370266,430962,435766,1,Leeds 2016,07/03/2016,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Pedal cycle
485,3370389,429059,433858,1,Leeds 2016,07/03/2016,825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,45,Bus or coach (17 or more passenger seats)
486,3371009,438330,430260,1,Leeds 2016,07/03/2016,1555,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,9,Car
487,3371018,442982,431717,2,Leeds 2016,07/03/2016,1600,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,61,Goods vehicle 7.5 tonnes mgw and over
488,3371081,426223,432785,1,Leeds 2016,07/03/2016,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,50,Car
489,3371323,424775,425469,2,Leeds 2016,07/03/2016,1833,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Female,45,Car
490,3371397,427100,433694,2,Leeds 2016,07/03/2016,1820,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,39,Car
491,3380981,435201,434868,2,Leeds 2016,16/02/2016,1720,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Female,53,Car
492,3390203,426316,437709,2,Leeds 2016,09/03/2016,801,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,36,Car
493,3390203,426316,437709,2,Leeds 2016,09/03/2016,801,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,22,Car
494,3390252,430850,435449,2,Leeds 2016,09/03/2016,844,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,40,Pedal cycle
495,3390679,429623,434237,1,Leeds 2016,09/03/2016,1340,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Serious,Female,82,Bus or coach (17 or more passenger seats)
496,3390786,426032,435589,2,Leeds 2016,09/03/2016,1500,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,60,Car
497,3390830,425172,432372,1,Leeds 2016,09/03/2016,1526,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
498,3390843,430291,433534,1,Leeds 2016,09/03/2016,1440,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,57,Car
499,33A0255,427184,434758,2,Leeds 2016,10/03/2016,715,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Female,24,Bus or coach (17 or more passenger seats)
500,33A1079,430983,434451,2,Leeds 2016,10/03/2016,1630,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,74,Car
501,33A1209,430409,431031,2,Leeds 2016,10/03/2016,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
502,33A1209,430409,431031,2,Leeds 2016,10/03/2016,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car
503,33A1810,428897,435510,2,Leeds 2016,10/03/2016,2324,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,49,Car
504,33B1196,430619,431831,2,Leeds 2016,11/03/2016,1215,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,33,Motorcycle over 500cc
505,33B1352,435431,439805,2,Leeds 2016,11/03/2016,1807,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Serious,Female,23,Car
506,33B1352,435431,439805,2,Leeds 2016,11/03/2016,1807,A,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,47,Car
507,33B1352,435431,439805,2,Leeds 2016,11/03/2016,1807,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,50,Car
508,33C0922,436058,431195,1,Leeds 2016,12/03/2016,1453,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Car
509,33C1424,433247,434049,4,Leeds 2016,12/03/2016,1904,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,28,Motorcycle over 500cc
510,33C1952,425020,435339,1,Leeds 2016,12/03/2016,2320,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,35,Taxi/Private hire car
511,33D0462,429430,433469,1,Leeds 2016,13/03/2016,900,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Female,31,Car
512,33D0994,427836,436303,1,Leeds 2016,13/03/2016,1420,A,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,67,Car
513,33D1154,428112,426644,2,Leeds 2016,13/03/2016,1620,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,71,Car
514,33D1710,431263,426519,1,Leeds 2016,13/03/2016,2140,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,22,Goods vehicle 3.5 tonnes mgw and under
515,33E1272,436158,434596,2,Leeds 2016,14/03/2016,1720,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,Pedal cycle
516,33F0485,439979,432382,1,Leeds 2016,15/03/2016,1030,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
517,33F0880,443502,438355,3,Leeds 2016,15/03/2016,1448,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Goods vehicle 3.5 tonnes mgw and under
518,33F1157,429023,432295,2,Leeds 2016,15/03/2016,1712,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,30,Motorcycle over 50cc and up to 125cc
519,33F1251,429920,438507,2,Leeds 2016,15/03/2016,1755,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,70,Car
520,33G0274,429589,436620,1,Leeds 2016,16/03/2016,850,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,7,Car
521,33G0432,431885,430498,2,Leeds 2016,16/03/2016,1040,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,33,Car
522,33G0432,431885,430498,2,Leeds 2016,16/03/2016,1040,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,54,Car
523,33G0992,426122,439160,2,Leeds 2016,16/03/2016,1604,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,47,Motorcycle over 500cc
524,33H0332,432052,436201,3,Leeds 2016,17/03/2016,920,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,62,Car
525,33H0332,432052,436201,3,Leeds 2016,17/03/2016,920,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,53,Car
526,33H0345,435440,435683,2,Leeds 2016,17/03/2016,1500,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,12,Pedal cycle
527,33H0479,436095,434775,2,Leeds 2016,16/03/2016,1630,Unclassified,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,30,Pedal cycle
528,33H1024,426098,428271,2,Leeds 2016,17/03/2016,1600,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,36,Pedal cycle
529,33I0926,420025,434134,2,Leeds 2016,18/03/2016,1515,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,51,Car
530,33I0967,431243,429712,2,Leeds 2016,18/03/2016,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,24,Taxi/Private hire car
531,33I1052,424662,433596,2,Leeds 2016,18/03/2016,1615,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc
532,33I1529,434622,435681,2,Leeds 2016,18/03/2016,2025,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,37,Car
533,33J0282,442405,442611,2,Leeds 2016,19/03/2016,440,A(M),Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,22,Car
534,33J0282,442405,442611,2,Leeds 2016,19/03/2016,440,A(M),Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Serious,Female,20,Car
535,33J0779,437724,425283,2,Leeds 2016,19/03/2016,1202,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car
536,33J0779,437724,425283,2,Leeds 2016,19/03/2016,1202,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,65,Car
537,33J0896,431959,438903,2,Leeds 2016,19/03/2016,1416,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,63,Car
538,33K0386,426848,438045,2,Leeds 2016,20/03/2016,810,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,45,Pedal cycle
539,33K0810,428922,433430,2,Leeds 2016,20/03/2016,1200,A,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,28,Taxi/Private hire car
540,33K0914,437162,425798,1,Leeds 2016,20/03/2016,1430,Motorway,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,18,Car
541,33K0934,429512,430284,2,Leeds 2016,20/03/2016,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,Car
542,33K0934,429512,430284,2,Leeds 2016,20/03/2016,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,79,Car
543,33K0934,429512,430284,2,Leeds 2016,20/03/2016,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,79,Car
544,33K1104,431348,434957,3,Leeds 2016,20/03/2016,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,31,Car
545,33K1104,431348,434957,3,Leeds 2016,20/03/2016,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,5,Car
546,33K1104,431348,434957,3,Leeds 2016,20/03/2016,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car
547,33K1104,431348,434957,3,Leeds 2016,20/03/2016,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,7,Car
548,33K1104,431348,434957,3,Leeds 2016,20/03/2016,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,8,Car
549,33K1466,427297,433633,2,Leeds 2016,20/03/2016,1929,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
550,33L0014,427552,426312,2,Leeds 2016,21/03/2016,40,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,45,Car
551,33L0442,430264,433752,1,Leeds 2016,21/03/2016,1010,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,57,Bus or coach (17 or more passenger seats)
552,33M0196,426230,431902,2,Leeds 2016,22/03/2016,720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,39,Car
553,33M1252,430107,432823,2,Leeds 2016,22/03/2016,1800,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
554,33M1474,429914,432852,1,Leeds 2016,22/03/2016,2005,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,22,Car
555,33N0519,430551,432342,3,Leeds 2016,23/03/2016,1207,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,37,Car
556,33N0965,433604,432074,1,Leeds 2016,23/03/2016,1710,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,43,Motorcycle over 500cc
557,33N1424,431880,435220,2,Leeds 2016,08/03/2016,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,51,Bus or coach (17 or more passenger seats)
558,33N1424,431880,435220,2,Leeds 2016,08/03/2016,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,55,Bus or coach (17 or more passenger seats)
559,33O1560,433008,437096,2,Leeds 2016,24/03/2016,2045,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Slight,Male,15,Pedal cycle
560,33P0429,443249,439304,4,Leeds 2016,25/03/2016,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
561,33P0429,443249,439304,4,Leeds 2016,25/03/2016,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,37,Car
562,33P0429,443249,439304,4,Leeds 2016,25/03/2016,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,13,Car
563,33P0429,443249,439304,4,Leeds 2016,25/03/2016,1000,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,7,Car
564,33P0657,443638,436915,4,Leeds 2016,25/03/2016,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,27,Car
565,33P0657,443638,436915,4,Leeds 2016,25/03/2016,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,23,Car
566,33P0657,443638,436915,4,Leeds 2016,25/03/2016,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,64,Car
567,33P0657,443638,436915,4,Leeds 2016,25/03/2016,1220,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car
568,33P0920,426190,427439,2,Leeds 2016,25/03/2016,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,25,Car
569,33P1048,415290,441400,1,Leeds 2016,25/03/2016,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,67,Motorcycle over 500cc
570,33P1342,424090,428105,2,Leeds 2016,25/03/2016,1800,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,28,Car
571,33Q0648,429574,435901,1,Leeds 2016,26/03/2016,1055,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,46,Car
572,33Q1029,437868,433015,1,Leeds 2016,26/03/2016,1029,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,30,Car
573,33Q1071,426250,434042,2,Leeds 2016,26/03/2016,1151,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,Car
574,33Q1107,430069,433848,1,Leeds 2016,26/03/2016,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,20,Car
575,33Q1208,427094,430502,1,Leeds 2016,26/03/2016,1724,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,55,Car
576,33R0453,426503,433764,2,Leeds 2016,27/03/2016,1019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,25,Car
577,33R0504,429880,430763,2,Leeds 2016,27/03/2016,1106,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,34,Car
578,33R0873,432133,435320,1,Leeds 2016,27/03/2016,1608,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,11,Car
579,33R0913,427769,434959,3,Leeds 2016,27/03/2016,1710,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Vehicle or pillion passenger,Slight,Female,19,Car
580,33R1046,431779,430478,1,Leeds 2016,27/03/2016,1800,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Car
581,33R1689,427000,433450,1,Leeds 2016,27/03/2016,2349,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Male,58,Car
582,33R1689,427000,433450,1,Leeds 2016,27/03/2016,2349,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Female,28,Car
583,33S0525,423018,437664,2,Leeds 2016,28/03/2016,1124,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,68,Car
584,33S0525,423018,437664,2,Leeds 2016,28/03/2016,1124,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,28,Car
585,33S0584,424482,438585,2,Leeds 2016,28/03/2016,1204,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,21,Motorcycle over 50cc and up to 125cc
586,33S0639,436098,434792,2,Leeds 2016,28/03/2016,1100,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,55,Car
587,33S0639,436098,434792,2,Leeds 2016,28/03/2016,1100,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,18,Car
588,33T0242,431434,431611,2,Leeds 2016,29/03/2016,740,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,46,Car
589,33T0242,431434,431611,2,Leeds 2016,29/03/2016,740,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,43,Car
590,33T0645,426297,438088,2,Leeds 2016,29/03/2016,1247,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Car
591,33T1050,429167,432418,2,Leeds 2016,29/03/2016,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,Car
592,33T1515,428979,430936,2,Leeds 2016,29/03/2016,2045,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,3,Car
593,33T1529,422029,434379,2,Leeds 2016,24/03/2016,1730,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car
594,33T1751,430759,434644,1,Leeds 2016,29/03/2016,1751,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,30,Car
595,33U0243,431493,433975,3,Leeds 2016,30/03/2016,818,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,25,Car
596,33U0291,436726,428266,2,Leeds 2016,30/03/2016,1604,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,44,Car
597,33U0531,430713,439027,2,Leeds 2016,30/03/2016,1213,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,35,Car
598,33U0563,432391,437597,2,Leeds 2016,30/03/2016,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,17,Car
599,33U0563,432391,437597,2,Leeds 2016,30/03/2016,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,35,Car
600,33U0574,430377,433523,1,Leeds 2016,17/03/2016,1210,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,32,Bus or coach (17 or more passenger seats)
601,33U0825,427560,427911,1,Leeds 2016,30/03/2016,2054,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,67,Bus or coach (17 or more passenger seats)
602,33U0931,426497,427233,1,Leeds 2016,30/03/2016,1620,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,50,Car
603,33U0964,425155,429000,2,Leeds 2016,30/03/2016,1635,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,19,Pedal cycle
604,33U1075,430605,434565,2,Leeds 2016,30/03/2016,1700,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,28,Taxi/Private hire car
605,33U1075,430605,434565,2,Leeds 2016,30/03/2016,1700,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,Taxi/Private hire car
606,33U1123,443972,434035,2,Leeds 2016,30/03/2016,1757,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,22,Car
607,33U1271,426881,433439,2,Leeds 2016,30/03/2016,1913,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,33,Car
608,33U1748,429655,423722,1,Leeds 2016,30/03/2016,2345,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,Car
609,33V0210,441011,447922,2,Leeds 2016,31/03/2016,614,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,59,Motorcycle over 125cc and up to 500cc
610,33V0429,426590,427077,2,Leeds 2016,31/03/2016,1045,B,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,Car
611,33V0846,430652,434727,2,Leeds 2016,31/03/2016,1845,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,25,Car
612,33V0846,430652,434727,2,Leeds 2016,31/03/2016,1845,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Male,17,Car
613,33V1001,429469,435450,2,Leeds 2016,30/03/2016,1615,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
614,33V1161,432934,440174,2,Leeds 2016,31/03/2016,1704,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
615,33V1357,424741,437826,1,Leeds 2016,31/03/2016,1845,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,57,Car
616,33V1367,427312,433869,1,Leeds 2016,31/03/2016,1848,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
617,33V1409,426284,435585,2,Leeds 2016,31/03/2016,1906,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,44,Car
618,33V1546,434601,434498,1,Leeds 2016,31/03/2016,2016,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,17,Motorcycle over 500cc
619,33V1759,424685,433597,1,Leeds 2016,31/03/2016,2155,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,18,Car
620,3410726,432779,429909,2,Leeds 2016,01/04/2016,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,32,Motorcycle over 50cc and up to 125cc
621,3411318,431229,445744,1,Leeds 2016,01/04/2016,1852,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Car
622,3420318,429898,435437,1,Leeds 2016,02/04/2016,630,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,30,Car
623,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,59,Car
624,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,28,Car
625,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,46,Car
626,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,60,Car
627,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,Car
628,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,27,Car
629,3420607,431966,425519,2,Leeds 2016,02/04/2016,1210,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,3,Car
630,3421179,427062,431803,2,Leeds 2016,02/04/2016,1810,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,34,Motorcycle over 500cc
631,3421556,430164,432839,2,Leeds 2016,02/04/2016,1420,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car
632,3421556,430164,432839,2,Leeds 2016,02/04/2016,1420,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,18,Car
